M_id;T_id;Price_d3
288611;526098;184,4
187081;452163;163,4
187083;450661;163,15
115500;424997;226,2
77705;577250;17,95
95167;350398;84,4
75950;367089;55,9
54890;365632;23,6
54890;330353;23,6
234452;469475;90,55
230654;580557;11,85
266258;578821;26,35
355583;569670;84,65
86095;338039;43,45
78103;371236;138,35
223375;577482;13,1
397006;573860;96,55
62748;364901;71,65
41361;363251;75,8
41362;362458;134,3
298500;571238;184,65
186888;408008;65,65
48943;361495;9,65
287964;580883;30,75
143795;580781;39,35
86409;352529;23,25
142082;427807;38
109260;427775;34,8
169983;578804;26,55
108048;359384;51,4
48905;330802;75,65
364728;558920;126,1
109071;533788;11,57
54900;332130;22,55
82693;397355;64,2
113263;575943;20,5
145668;428195;47,52
150197;439952;55,02
129411;410836;14,9
72500;331383;176,63
90830;338636;14,72
22080;326565;58,18
190221;447410;19,42
66200;331667;82,19
60242;327851;21,76
343047;573241;28,31
343050;573242;28,28
343045;573240;28,35
36545;327457;21,39
56304;329955;69,33
63517;332907;55,61
97109;343810;154,18
135120;431612;199,88
149387;359612;51,1
149388;426109;81,94
12077;326966;46,74
102653;350363;33,81
102654;335046;128,8
41365;328201;80,64
99305;326527;119,5
81770;335183;89,16
236841;528919;257,21
6554;414237;78,83
60585;408652;95,94
188991;572824;105,82
33667;328107;40,2
12101;326663;69,39
40554;328412;165,71
122106;358876;38,04
11149;326307;117,2
165416;426132;68,69
118516;359477;19,4
125480;465266;95,56
340773;562090;67,81
44708;329020;319,98
51208;328758;169,42
64211;337339;172,33
149150;359684;57,82
177857;463221;49,86
13961;329372;181,91
284991;557428;11,17
285031;557425;11,16
285005;557427;11,13
285016;557426;11,18
66474;329432;131,58
10376;359751;1408,39
36994;328813;36,39
66229;337331;197,78
201853;467041;68,99
296703;564048;40,52
154576;365324;18,66
82890;332536;373,24
30927;424727;42,25
153131;346858;46,23
153132;326841;86,4
185335;465893;141,84
108325;462075;79,4
47414;439612;42,06
4294;327947;62,84
83124;431414;169,2
85611;327508;59,26
98521;336909;94,64
19107;328578;140,17
93056;349147;262,73
21881;340539;35,29
312664;528960;73,85
195297;466058;66,33
62910;327390;126,57
41398;346546;20,54
47005;329314;13,28
165421;439338;369,48
66926;338597;466,55
86101;345721;130,03
46846;328700;47,73
88497;424956;414,06
178478;468844;74,95
40041;329025;197,65
112616;438701;38,44
97227;327861;50,71
56600;331176;90,77
6765;439378;121,17
9684;366418;13,31
307537;568268;37,8
307538;564053;42,4
83131;337227;90,75
7583;336474;39,65
82447;347565;41,16
82448;356081;73,51
111058;327154;78,1
117245;327787;57,07
122148;358205;195,56
11721;327141;114,72
69096;333543;91,66
56604;328717;75,51
47446;330037;75,51
46440;329524;160,96
30934;350924;44,68
23404;327475;18,05
188806;514320;138,98
69809;335814;27,67
28476;326973;43,78
95379;380607;25,35
173922;350064;41,48
69824;329949;45,08
16998;326379;61,7
164059;431309;44,9
91466;357988;63,83
50496;335671;54,23
97863;354992;96,69
13577;326742;12,64
64453;336310;29,41
145657;431198;55,27
30093;326589;149,61
8821;326921;298,98
30882;326599;166,16
353145;327825;210,03
63384;330081;42,32
19720;353761;120,76
92625;353328;309,5
127145;357975;84,35
295143;529710;118,31
122913;357165;83,64
329981;567313;55,18
71280;332921;50,49
107787;353605;124,34
169101;465857;9,87
11147;326309;162,98
165099;428113;161,74
5352;329677;81,16
32493;415227;107,32
8609;327344;152,91
4209;326911;210,6
167814;328128;131,27
79557;354485;619,42
21595;326392;33,2
79556;335384;215,53
50619;524377;39,41
50621;329240;81,85
66070;331679;23,4
66071;532406;38,7
351589;567964;41,89
21777;335927;33,79
23469;328001;20,06
