M_id;T_id;Price_2.2
85424;397337;22,83
137187;531880;нет
170382;533691;нет
88872;390784;нет
88877;397731;нет
88880;392888;нет
112878;387898;нет
113014;386899;нет
88882;392794;нет
112874;401620;нет
88883;385669;нет
32810;387658;нет
88866;387659;нет
88885;386901;нет
112890;386902;нет
88887;401622;нет
88870;394732;нет
33114;389677;нет
32810;387660;нет
40774;386177;нет
32870;395264;нет
109264;401195;нет
35018;392052;нет
28620;389055;нет
109269;395623;нет
43420;401256;нет
27611;387171;нет
65048;388662;нет
116857;386888;нет
73515;385539;14,24
73516;391390;14,39
116856;392693;нет
116854;386889;нет
122971;570754;нет
151355;365476;нет
120521;329703;нет
149431;340644;нет
151357;330101;нет
115261;334935;нет
116658;346332;нет
137954;366884;нет
135942;335293;нет
120161;334844;нет
115280;380775;нет
138966;334845;нет
120162;373154;нет
116660;369934;нет
135948;363179;нет
121426;369396;нет
135947;384826;нет
115262;367154;нет
135949;328963;нет
115268;334936;нет
353570;467586;нет
116669;334966;нет
120525;339321;нет
343612;467110;нет
343613;555475;нет
80868;393302;нет
84384;329920;нет
80807;371559;нет
80868;354500;нет
65994;366580;нет
137919;332969;нет
137918;332822;нет
43034;332408;108,55
35791;329032;188,76
149823;463139;нет
80559;366859;нет
54895;362174;24
73634;363625;31,24
101482;380656;нет
101482;383943;нет
65794;364344;нет
65795;363254;нет
59372;362525;нет
232461;530842;нет
229376;470111;56,48
144109;468237;11,28
144108;570142;нет
173007;524209;12,07
81024;355419;нет
81027;355418;нет
114101;355307;нет
301148;555465;нет
314880;529826;868,43
194544;331403;70,7
304206;573769;71,89
304207;573760;82,09
171528;438505;нет
164491;438438;нет
164490;438439;нет
113814;356900;нет
141226;360287;нет
134329;358741;нет
138616;360286;нет
196906;462079;нет
90350;468716;нет
307803;525293;нет
183637;439348;нет
307804;525294;нет
68568;577203;6,84
110100;357651;нет
62453;333642;3,05
234766;533686;42,38
39772;570809;нет
234764;570897;41,58
179226;438363;47,65
191545;561170;90,89
102584;400542;нет
60321;361796;нет
100164;360788;нет
117210;329975;55,13
181398;438535;15,04
181403;438539;нет
89123;332631;нет
89124;332632;нет
112899;357217;11,08
96941;363544;нет
66149;382224;нет
138353;358808;нет
60318;361797;нет
193085;575953;нет
138354;358270;нет
181401;438538;15,86
101128;448487;10,54
99011;368975;нет
117206;361234;нет
117207;361516;нет
69441;366934;нет
99009;334310;нет
99009;329267;нет
117205;361318;нет
88617;366861;20,82
60110;367452;нет
67074;336812;нет
89157;373210;нет
195304;467687;22,3
89155;373145;нет
66167;371344;13,9
82551;347304;нет
82549;344420;нет
61899;350776;нет
61902;333056;нет
82550;357648;нет
61901;333057;9,79
82552;357650;нет
82548;357649;нет
61903;333595;нет
61900;348496;9,69
76311;379569;нет
31625;465922;нет
76910;382155;нет
79310;369229;нет
79312;369697;нет
76909;369226;нет
181400;438537;15,86
190492;357150;нет
77607;365850;нет
84122;369803;20,06
69441;366935;нет
47911;361890;нет
77606;367253;нет
96938;334139;нет
96939;333661;нет
49114;368429;нет
112898;357218;нет
181399;438536;15,06
160432;432327;нет
160434;432321;нет
138935;358555;нет
66196;370000;14,37
69568;364929;нет
76311;345240;нет
76279;344762;нет
55272;330815;нет
190755;362657;36,24
175254;331140;нет
79261;332144;нет
74400;364930;нет
177359;346377;43,9
89153;385846;нет
88913;367512;нет
97490;361358;нет
88653;368643;нет
69365;328248;нет
69364;329413;нет
89907;565016;нет
190076;462318;нет
75808;382502;нет
60311;366541;нет
42747;367039;нет
282612;568311;нет
78065;375269;34,06
51160;381737;нет
104341;382211;нет
104342;380808;нет
124009;403408;нет
124010;403410;нет
124008;403407;нет
104341;403406;нет
124011;403411;нет
124012;403412;нет
124013;403413;нет
89721;390094;нет
89722;398175;нет
89725;390095;нет
89723;386906;нет
89726;392441;нет
89716;365816;нет
89711;364888;нет
89721;365813;нет
103548;377512;нет
89719;364619;нет
89714;383807;нет
89724;365815;нет
117060;401234;нет
103560;382517;нет
103561;376239;нет
103559;376237;нет
103556;376100;нет
89715;364890;нет
89725;364889;нет
89717;364618;нет
89717;364887;нет
89722;365814;нет
89718;364620;нет
89713;364621;нет
89723;362219;нет
89726;401308;нет
241424;468234;нет
187060;532521;3,78
80561;366223;нет
27807;361714;нет
73091;368013;114,45
132977;329251;нет
55424;334846;нет
107360;468238;10,24
22157;468766;нет
120470;577056;нет
384146;565161;нет
138766;524210;нет
117663;360241;нет
68689;470113;нет
68689;379713;нет
374316;571268;нет
51956;327650;нет
293862;524348;122,95
61722;369495;нет
384208;568029;184,48
